Campaign Manager Database
Campaign Tracking
"MetricID", "CampaignID", "Timestamp", "Engagement", "Reach", "ConversionRate", "ClickThroughRate", "Impressions", "CostPerClick"
1, 1, 2023-06-15 12:30:00, 1500, 30000, 5%, 2.5%, 500000, $0.10
2, 2, 2023-11-20 15:45:00, 1200, 25000, 3.5%, 1.8%, 400000, $0.08
3, 3, 2023-03-15 14:00:00, 1800, 35000, 4%, 2%, 600000, $0.09
4, 4, 2023-12-15 16:00:00, 2000, 40000, 4.5%, 2.2%, 700000, $0.11
5, 5, 2023-09-15 13:00:00, 1600, 32000, 4.2%, 2.1%, 650000, $0.10
6, 6, 2023-07-15 15:00:00, 1700, 34000, 3.8%, 1.9%, 620000, $0.09
7, 7, 2024-01-15 12:00:00, 1900, 38000, 4.3%, 2.2%, 680000, $0.11
8, 8, 2024-02-15 14:00:00, 1500, 30000, 3.7%, 1.8%, 550000, $0.08
9, 9, 2024-04-15 16:00:00, 2100, 42000, 4.6%, 2.3%, 720000, $0.12
10, 10, 2024-06-15 13:00:00, 2200, 44000, 4.8%, 2.4%, 750000, $0.13
11, 11, 2024-09-15 15:00:00, 2300, 46000, 5%, 2.5%, 780000, $0.14
12, 12, 2024-12-15 12:00:00, 2400, 48000, 5.2%, 2.6%, 800000, $0.15
13, 13, 2024-03-15 14:00:00, 2500, 50000, 5.4%, 2.7%, 820000, $0.16
14, 14, 2024-06-15 16:00:00, 2600, 52000, 5.6%, 2.8%, 840000, $0.17
15, 15, 2024-07-15 13:00:00, 2700, 54000, 5.8%, 2.9%, 860000, $0.18
